$Temperature file for segment 85
To the right of the sum of temperatures are individual temperatures starting with QWD then QSTR
JDAY,T(C),
    23.606,    5.48,
    23.627,    5.52,
    23.648,    5.55,
    23.669,    5.58,
    23.690,    5.58,
    23.711,    5.59,
    23.732,    5.58,
    23.753,    5.57,
    23.774,    5.55,
    23.795,    5.53,
    23.816,    5.50,
    23.837,    5.47,
    23.858,    5.45,
    23.879,    5.42,
    23.900,    5.39,
    23.921,    5.37,
    23.942,    5.35,
    23.963,    5.33,
    23.984,    5.31,
    24.005,    5.29,
    24.026,    5.27,
    24.047,    5.25,
    24.068,    5.24,
    24.089,    5.23,
    24.110,    5.22,
    24.131,    5.22,
    24.152,    5.22,
    24.173,    5.22,
    24.194,    5.22,
    24.215,    5.22,
    24.236,    5.22,
    24.257,    5.22,
    24.278,    5.22,
    24.299,    5.22,
    24.320,    5.22,
    24.341,    5.21,
    24.362,    5.20,
    24.383,    5.19,
    24.404,    5.19,
    24.425,    5.18,
    24.446,    5.18,
    24.467,    5.19,
    24.488,    5.22,
    24.509,    5.26,
    24.530,    5.30,
    24.551,    5.34,
    24.572,    5.39,
    24.593,    5.46,
    24.614,    5.53,
    24.635,    5.60,
    24.656,    5.66,
    24.677,    5.71,
    24.698,    5.74,
    24.719,    5.77,
    24.740,    5.77,
    24.761,    5.77,
    24.782,    5.76,
    24.803,    5.75,
    24.824,    5.72,
    24.845,    5.70,
    24.866,    5.67,
    24.887,    5.63,
    24.908,    5.60,
    24.929,    5.57,
    24.950,    5.55,
    24.971,    5.53,
    24.992,    5.50,
    25.013,    5.47,
    25.034,    5.44,
    25.055,    5.42,
    25.076,    5.39,
    25.097,    5.37,
    25.118,    5.35,
    25.139,    5.33,
    25.160,    5.31,
    25.181,    5.29,
    25.202,    5.28,
    25.223,    5.27,
    25.244,    5.26,
    25.265,    5.24,
    25.286,    5.22,
    25.307,    5.21,
    25.328,    5.20,
    25.349,    5.18,
    25.370,    5.17,
    25.391,    5.16,
    25.412,    5.16,
    25.433,    5.16,
    25.454,    5.17,
    25.475,    5.19,
